"","SampleID","studyid","month","DNA"
"1","5_13",1632,0,54
"2","6_14",1081,0,59.6
"3","3_64",1199,0,101
"4","2_26",1267,0,46
"5","3_39",1750,0,13.5
"6","5_39",1502,0,212
"7","7_16",1524,0,256
"8","2_39",1647,0,71.6
"9","3_25",1769,0,32.4
"10","1_42",1023,0,119
"11","5_15",1097,0,177
"12","4_34",1187,0,44.8
"13","4_76",1335,0,64.8
"14","6_92",1726,0,191
"15","3_24",1774,0,216
"16","1_98",1856,0,248
"17","4_12",1017,0,195
"18","1_36",1029,0,89.6
"19","1_82",1076,0,288
"20","1_59",1243,0,159
"21","3_71",1369,0,68.8
"22","1_29",1817,0,73.2
"23","1_38",1221,0,300
"24","2_50",1278,0,126
"25","6_24",1298,0,90.4
"26","7_52",1366,0,44
"27","2_1",1401,0,264
"28","3_92",1428,0,50.4
"29","4_15",1475,0,216
"30","1_84",1485,0,31.2
"31","5_51",1529,0,50
"32","4_88",1533,0,185
"33","7_1",1600,0,44.8
"34","1_50",1616,0,340
"35","3_78",1620,0,224
"36","6_79",1642,0,92
"37","1_17",1827,0,29.3
"38","5_90",1836,0,19.2
"39","3_16",1872,0,58.4
"40","3_28",1008,0,276
"41","2_40",1046,0,50.8
"42","2_70",1061,0,400
"43","2_52",1108,0,240
"44","7_15",1188,0,284
"45","1_60",1225,0,84.4
"46","5_53",1241,0,37.1
"47","5_50",1288,0,280
"48","5_98",1386,0,93.2
"49","2_27",1477,0,324
"50","2_9",1490,0,90
"51","2_53",1503,0,304
"52","6_23",1563,0,276
"53","2_12",1613,0,37.2
"54","4_77",1671,0,188
"55","2_60",1732,0,158
"56","7_3",1749,0,107
"57","3_95",1766,0,380
"58","1_14",1810,0,163
"59","3_19",1853,0,20.6
"60","3_86",1870,0,244
"61","6_22",1002,0,272
"62","3_1",1016,0,29.1
"63","6_70",1028,0,276
"64","2_81",1056,0,220
"65","5_38",1121,0,94.4
"66","3_36",1202,0,48.8
"67","3_42",1226,0,236
"68","2_80",1261,0,288
"69","6_11",1280,0,264
"70","1_52",1316,0,292
"71","2_68",1321,0,296
"72","5_85",1324,0,13.4
"73","5_6",1331,0,180
"74","3_90",1338,0,25.2
"75","6_76",1356,0,400
"76","2_33",1374,0,118
"77","4_27",1389,0,236
"78","4_24",1414,0,181
"79","3_74",1441,0,79.2
"80","6_26",1454,0,26
"81","1_67",1472,0,344
"82","7_72",1578,0,152
"83","2_10",1591,0,115
"84","7_40",1611,0,132
"85","5_74",1634,0,328
"86","5_2",1649,0,224
"87","2_7",1652,0,224
"88","2_34",1657,0,160
"89","6_90",1678,0,70
"90","5_76",1685,0,175
"91","3_91",1700,0,27.6
"92","6_2",1730,0,27.6
"93","7_74",1738,0,58
"94","1_77",1739,0,172
"95","7_26",1773,0,182
"96","3_9",1776,0,260
"97","4_53",1803,0,236
"98","1_46",1809,0,84.8
"99","1_83",1878,0,113
"100","7_28",1897,0,27.6
"101","3_10",1900,0,272
"102","1_93",1003,0,17.8
"103","3_46",1005,0,360
"104","1_44",1045,0,360
"105","7_35",1062,0,344
"106","2_75",1066,0,80
"107","3_18",1070,0,380
"108","2_77",1075,0,146
"109","5_4",1098,0,150
"110","6_87",1102,0,160
"111","1_11",1109,0,33.1
"112","1_32",1112,0,240
"113","3_54",1118,0,328
"114","2_8",1128,0,110
"115","2_78",1139,0,276
"116","2_55",1158,0,272
"117","2_98",1166,0,296
"118","6_33",1170,0,44
"119","1_62",1182,0,212
"120","6_80",1218,0,38.2
"121","3_30",1220,0,260
"122","5_36",1234,0,33.4
"123","5_87",1238,0,264
"124","4_46",1263,0,332
"125","2_71",1290,0,200
"126","3_23",1309,0,44.8
"127","3_67",1322,0,183
"128","6_25",1327,0,19.8
"129","1_71",1330,0,208
"130","2_84",1339,0,260
"131","1_66",1342,0,232
"132","1_96",1351,0,260
"133","3_48",1360,0,350
"134","1_88",1364,0,194
"135","5_32",1368,0,17.5
"136","2_51",1380,0,71.2
"137","3_73",1384,0,39.7
"138","2_36",1392,0,144
"139","3_85",1399,0,99.6
"140","1_20",1408,0,53.6
"141","2_6",1466,0,70.4
