clade_name,pfpos_10_met_abs,pfpos_9_met_abs,pfpos_8_met_abs,pfpos_7_met_abs,pfpos_6_met_abs,pfpos_5_met_abs,pfpos_4_met_abs,pfpos_3_met_abs,pfpos_2_met_abs,pfpos_1_met_abs,RDS_9_met_abs,RDS_8_met_abs,RDS_7_met_abs,RDS_6_met_abs,RDS_5_met_abs,RDS_4_met_abs,RDS_3_met_abs,RDS_2_met_abs,RDS_1_met_abs,SMA_13_met_abs,SMA_12_met_abs,SMA_11_met_abs,SMA_10_met_abs,SMA_9_met_abs,SMA_8_met_abs,SMA_7_met_abs,SMA_6_met_abs,SMA_5_met_abs,SMA_4_met_abs,SMA_3_met_abs,SMA_2_met_abs,SMA_1_met_abs,CM_9_met_abs,CM_8_met_abs,CM_7_met_abs,CM_6_met_abs,CM_5_met_abs,CM_4_met_abs,CM_3_met_abs,CM_2_met_abs,CM_1_met_abs
k__Archaea,0,0,14347,0,0,0,0,0,249973,0,0,0,0,0,0,0,0,0,0,194540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402730,0,0,0
k__Archaea|p__Euryarchaeota,0,0,14347,0,0,0,0,0,249973,0,0,0,0,0,0,0,0,0,0,194540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402730,0,0,0
k__Archaea|p__Euryarchaeota|c__CFGB343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343|g__GGB781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343|g__GGB781|s__GGB781_SGB1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343|g__GGB781|s__GGB781_SGB1024|t__SGB1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0,0,14347,0,0,0,0,0,249973,0,0,0,0,0,0,0,0,0,0,178159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402730,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0,0,14347,0,0,0,0,0,249973,0,0,0,0,0,0,0,0,0,0,178159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402730,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0,0,14347,0,0,0,0,0,249973,0,0,0,0,0,0,0,0,0,0,178159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402730,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae_unclassified,0,0,0,0,0,0,0,0,249973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae_unclassified|s__Methanobacteriaceae_archaeon,0,0,0,0,0,0,0,0,249973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae_unclassified|s__Methanobacteriaceae_archaeon|t__SGB711,0,0,0,0,0,0,0,0,249973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402730,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402730,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__SGB714_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402730,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera,0,0,14347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,0,0,14347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
